Date,Open,High,Low,Close,Volume,Turnover
2020-08-06,11185.7,11256.8,11127.3,11200.15,600374615,315010800000.0
2020-08-07,11186.65,11231.9,11142.05,11214.05,452629891,270544300000.0
2020-08-10,11270.25,11337.3,11238.0,11270.15,491999534,291082500000.0
2020-08-11,11322.25,11373.6,11299.15,11322.5,586084846,303148900000.0
2020-08-12,11289.0,11322.0,11242.65,11308.4,609858960,280880900000.0
2020-08-13,11334.85,11359.3,11269.95,11300.45,562355175,265005200000.0
2020-08-14,11353.3,11366.25,11111.45,11178.4,645109756,310592300000.0
2020-08-17,11248.9,11267.1,11144.5,11247.1,633963958,274686699999.99997
2020-08-18,11259.8,11401.7,11253.15,11385.35,579242492,272675099999.99997
2020-08-19,11452.15,11460.35,11394.1,11408.4,626217997,275281200000.0
2020-08-20,11317.45,11361.45,11289.8,11312.2,791587770,276761800000.0
2020-08-21,11409.65,11418.5,11362.2,11371.6,668719170,262942599999.99997
2020-08-24,11412.0,11497.25,11410.65,11466.45,532900535,289208400000.0
2020-08-25,11513.1,11525.9,11423.35,11472.25,638152608,287428200000.0
2020-08-26,11512.85,11561.75,11461.85,11549.6,743442521,348520100000.0
2020-08-27,11609.3,11617.35,11540.6,11559.25,719776490,315806100000.0
2020-08-28,11602.95,11686.05,11589.4,11647.6,806997707,393499200000.0
2020-08-31,11777.55,11794.25,11325.85,11387.5,1371789450,616685500000.0
2020-09-01,11464.3,11553.55,11366.9,11470.25,783769555,367525400000.0
2020-09-02,11478.55,11554.75,11430.4,11535.0,593494423,274546500000.0
2020-09-03,11566.2,11584.95,11507.65,11527.45,607115212,268682599999.99997
2020-09-04,11354.4,11452.05,11303.65,11333.85,681338905,317468600000.0
2020-09-07,11359.6,11381.15,11251.7,11355.05,560322964,259598200000.0
2020-09-08,11378.55,11437.25,11290.45,11317.35,572239350,279797000000.0
2020-09-09,11218.6,11298.15,11185.15,11278.0,728880693,326606700000.0
2020-09-10,11363.3,11464.05,11327.4,11449.25,679419973,392391000000.0
2020-09-11,11447.8,11493.5,11419.9,11464.45,554789157,296140900000.0
2020-09-14,11540.15,11568.9,11383.55,11440.05,642270123,339969400000.0
2020-09-15,11487.2,11535.95,11442.25,11521.8,506667239,280545100000.0
2020-09-16,11538.45,11618.1,11516.75,11604.55,527804775,276297100000.0
2020-09-17,11539.4,11587.2,11498.5,11516.1,517729494,296749500000.0
2020-09-18,11584.1,11584.1,11446.1,11504.95,764154094,486986800000.0
2020-09-21,11503.8,11535.25,11218.5,11250.55,602851737,372132300000.00006
2020-09-22,11301.75,11302.2,11084.65,11153.65,672249921,362964900000.0
2020-09-23,11258.75,11259.55,11024.4,11131.85,714925847,355429800000.00006
2020-09-24,11011.0,11015.3,10790.2,10805.55,706139506,336237100000.0
2020-09-25,10910.4,11072.6,10854.85,11050.25,559597322,311221800000.0
2020-09-28,11140.85,11239.35,11099.85,11227.55,472777324,243611699999.99997
2020-09-29,11288.6,11305.4,11181.0,11222.4,498295735,268751400000.0
2020-09-30,11244.45,11295.4,11184.55,11247.55,499343849,281347700000.0
2020-10-01,11364.45,11428.6,11347.05,11416.95,447740006,262127200000.0
2020-10-05,11487.8,11578.05,11452.3,11503.35,530597393,313415500000.0
2020-10-06,11603.45,11680.3,11564.3,11662.4,561444728,303736500000.0
2020-10-07,11679.25,11763.05,11629.35,11738.85,513367516,329359800000.00006
2020-10-08,11835.4,11905.7,11791.15,11834.6,608768573,386774900000.0
2020-10-09,11852.05,11938.6,11805.2,11914.2,611079482,345468000000.0
2020-10-12,11973.55,12022.05,11867.2,11930.95,522627571,265864700000.0
2020-10-13,11934.65,11988.2,11888.9,11934.5,458304851,294032200000.0
2020-10-14,11917.4,11997.2,11822.15,11971.05,569245407,299406200000.0
2020-10-15,12023.45,12025.45,11661.3,11680.35,608865041,351759200000.0
2020-10-16,11727.4,11789.75,11667.85,11762.45,555764762,304391900000.0
2020-10-19,11879.2,11898.25,11820.4,11873.05,541420990,298886000000.0
2020-10-20,11861.0,11949.25,11837.25,11896.8,453560934,283673400000.0
2020-10-21,11958.55,12018.65,11775.75,11937.65,623658140,374771300000.0
2020-10-22,11890.0,11939.55,11823.45,11896.45,544901152,330131700000.0
2020-10-23,11957.9,11974.55,11908.75,11930.35,502340361,274246100000.0
